x,t,u
0.74908,0.079858,0.6554007820690506
1.901429,0.65459,-0.15971940751329275
1.463988,0.348638,-0.7043320436720965
1.197317,0.533142,-0.3432525942241236
0.312037,0.912188,0.3376223108044171
0.311989,0.286828,0.6258009409616839
0.116167,0.439864,0.23121151193409062
1.732352,0.767774,-0.3492876140111164
1.20223,0.267358,-0.4558035508876344
1.416145,0.123131,-0.8550167409680675
0.041169,0.325264,0.09356002401104473
1.93982,0.20316,-0.1537910116227384
1.664885,0.933213,-0.34587611918641087
0.424678,0.817714,0.43373837774853624
0.36365,0.651734,0.47810195501286895
0.366809,0.877888,0.38417238668860637
0.608484,0.813488,0.42226699963920117
1.049513,0.227242,-0.12379790138664966
0.86389,0.897931,0.1709393880893264
0.582458,0.562375,0.5548944764876697
1.223706,0.817068,-0.28856767609337297
0.278988,0.901287,0.31572878225849627
0.584289,0.352103,0.6818202185491118
0.732724,0.154549,0.6391105892720399
0.91214,0.266538,0.2094912113873211
1.570352,0.455752,-0.6222365193288674
0.399348,0.827114,0.42013531262109266
1.028469,0.867694,-0.037933417862038944
1.184829,0.056605,-0.5187669787647123
0.092901,0.53521,0.16965991080637882
1.21509,0.44654,-0.40253229463174406
0.341048,0.261002,0.6785243923247921
0.130103,0.163872,0.33809299048175767
1.897771,0.370734,-0.21893944153057238
1.931264,0.945764,-0.08424990808968852
1.616795,0.357043,-0.6562126792583359
0.609228,0.542851,0.5510986370580587
0.195344,0.717868,0.2835554755235951
1.368466,0.395448,-0.6198882803976953
0.880305,0.973193,0.1405403805798654
0.244076,0.964325,0.26786135829350316
0.990354,0.289193,0.022775789297206615
0.068777,0.522386,0.12802580173076822
1.818641,0.335834,-0.3872428543337975
0.51756,0.320598,0.7276464606997328
1.325045,0.085043,-0.7840636109893131
0.623422,0.629086,0.4975707467254038
1.040136,0.527545,-0.074715405323699
1.093421,0.098905,-0.26239031360282256
0.369709,0.314714,0.6724472617597788
1.939169,0.912853,-0.07715259823124007
1.550266,0.277584,-0.7508981792600593
1.878998,0.18765,-0.30831823229027505
1.789655,0.51498,-0.3692020812574519
1.1958,0.986368,-0.21798788266901872
1.843748,0.279953,-0.35759794155633545
0.176985,0.688529,0.2675153466614951
0.391966,0.773539,0.4394685469690728
0.090455,0.275756,0.2135618891636836
0.650661,0.741806,0.4280148019064641
0.777355,0.399394,0.4340713968311764
0.542698,0.650691,0.5214039931667558
1.657475,0.651853,-0.4625168944374631
0.713507,0.558986,0.45118985044966536
0.561869,0.135775,0.8581177041870329
1.085392,0.843537,-0.1152866033449152
0.281848,0.354741,0.5455072384064664
1.604394,0.227193,-0.7565374886825748
0.149101,0.088736,0.41361473273523197
1.973774,0.611348,-0.045013985617675105
1.54449,0.693686,-0.4993538281362713
0.397431,0.065758,0.8889264760390133
0.011044,0.536488,0.020428359494792533
1.630923,0.265171,-0.7055354176736418
1.413715,0.662914,-0.5008398157067102
1.458014,0.215648,-0.8012673825750775
1.542541,0.706391,-0.49354690556837477
0.148089,0.417399,0.2971535903216098
0.716931,0.939893,0.3071443824430803
0.231738,0.180645,0.5567383482975793
1.726207,0.374013,-0.5239862114048585
1.246596,0.1578,-0.5986218906469046
0.661796,0.928459,0.3494083044623595
0.127117,0.883472,0.16257884725706187
0.621965,0.295045,0.6931734417123587
0.650367,0.676985,0.4565079129833998
1.459212,0.826361,-0.4387532837285856
1.275115,0.577441,-0.43019968497180205
1.774425,0.553168,-0.37701278197089905
0.94443,0.27976,0.13178562542646208
0.239188,0.138448,0.5954939890097642
1.42649,0.902355,-0.3995184090138574
1.52157,0.905397,-0.4082446013135076
1.122554,0.651446,-0.19745306396167456
1.541934,0.372078,-0.6866509887724779
0.987591,0.381749,0.026739113951078686
1.045466,0.739658,-0.06859906067338553
0.855082,0.902255,0.1804800878347192
0.050838,0.892732,0.06589271362516054
0.215783,0.790882,0.28733054285448045
